"","Week","State","Age","Not at all","Several days","More than half the days","Nearly every day"
"health2a_week14.xlsx.408","health2a_week14.xlsx","WI","80 and above","70549","17201","5625","7218"
"health2a_week14.xlsx.409","health2a_week14.xlsx","WY","Total","152589","91339","43491","64089"
"health2a_week14.xlsx.410","health2a_week14.xlsx","WY","18 - 29","8521","12839","3873","15079"
"health2a_week14.xlsx.411","health2a_week14.xlsx","WY","30 - 39","19160","19461","10109","19957"
"health2a_week14.xlsx.412","health2a_week14.xlsx","WY","40 - 49","30165","13399","5612","11465"
"health2a_week14.xlsx.413","health2a_week14.xlsx","WY","50 - 59","19800","11783","9806","12861"
"health2a_week14.xlsx.414","health2a_week14.xlsx","WY","60 - 69","40899","21631","13088","2548"
"health2a_week14.xlsx.415","health2a_week14.xlsx","WY","70 - 79","27256","11583","1003","2179"
"health2a_week14.xlsx.416","health2a_week14.xlsx","WY","80 and above","6789","644","-","-"
"health2a_week15.xlsx.1","health2a_week15.xlsx","US","Total","78429969","56047243","22580599","33015271"
"health2a_week15.xlsx.2","health2a_week15.xlsx","US","18 - 29","6978539","8733164","4398807","7511490"
"health2a_week15.xlsx.3","health2a_week15.xlsx","US","30 - 39","10985665","10993144","5110150","7211495"
"health2a_week15.xlsx.4","health2a_week15.xlsx","US","40 - 49","12492544","10287667","4344104","6708132"
"health2a_week15.xlsx.5","health2a_week15.xlsx","US","50 - 59","14761501","9793941","3756457","5047110"
"health2a_week15.xlsx.6","health2a_week15.xlsx","US","60 - 69","17973580","10096309","3017546","4596827"
"health2a_week15.xlsx.7","health2a_week15.xlsx","US","70 - 79","11857455","4835538","1503099","1485091"
"health2a_week15.xlsx.8","health2a_week15.xlsx","US","80 and above","3380686","1307479","450437","455126"
"health2a_week15.xlsx.9","health2a_week15.xlsx","AL","Total","1241957","679379","226801","543744"
"health2a_week15.xlsx.10","health2a_week15.xlsx","AL","18 - 29","129247","81432","39517","142703"
"health2a_week15.xlsx.11","health2a_week15.xlsx","AL","30 - 39","152025","130271","38823","97921"
"health2a_week15.xlsx.12","health2a_week15.xlsx","AL","40 - 49","117618","143672","41139","85989"
"health2a_week15.xlsx.13","health2a_week15.xlsx","AL","50 - 59","330906","125158","44476","126253"
"health2a_week15.xlsx.14","health2a_week15.xlsx","AL","60 - 69","334097","122794","17204","54279"
"health2a_week15.xlsx.15","health2a_week15.xlsx","AL","70 - 79","136091","49357","40169","17406"
"health2a_week15.xlsx.16","health2a_week15.xlsx","AL","80 and above","41972","26694","5473","19192"
"health2a_week15.xlsx.17","health2a_week15.xlsx","AK","Total","185386","120206","42325","87011"
"health2a_week15.xlsx.18","health2a_week15.xlsx","AK","18 - 29","11711","22415","11925","23057"
"health2a_week15.xlsx.19","health2a_week15.xlsx","AK","30 - 39","36250","30587","11286","24139"
"health2a_week15.xlsx.20","health2a_week15.xlsx","AK","40 - 49","38416","14885","8030","14046"
"health2a_week15.xlsx.21","health2a_week15.xlsx","AK","50 - 59","35167","25782","4804","9291"
"health2a_week15.xlsx.22","health2a_week15.xlsx","AK","60 - 69","37878","17587","4982","14429"
"health2a_week15.xlsx.23","health2a_week15.xlsx","AK","70 - 79","15659","5883","1157","1866"
"health2a_week15.xlsx.24","health2a_week15.xlsx","AK","80 and above","10304","3066","142","183"
"health2a_week15.xlsx.25","health2a_week15.xlsx","AZ","Total","1824387","1306549","522104","780711"
"health2a_week15.xlsx.26","health2a_week15.xlsx","AZ","18 - 29","127728","164262","106200","149379"
"health2a_week15.xlsx.27","health2a_week15.xlsx","AZ","30 - 39","204959","277399","176601","149914"
"health2a_week15.xlsx.28","health2a_week15.xlsx","AZ","40 - 49","274519","299260","58207","216479"
"health2a_week15.xlsx.29","health2a_week15.xlsx","AZ","50 - 59","354378","189961","70358","107436"
"health2a_week15.xlsx.30","health2a_week15.xlsx","AZ","60 - 69","402970","181036","70720","88313"
"health2a_week15.xlsx.31","health2a_week15.xlsx","AZ","70 - 79","350540","133720","37801","57370"
"health2a_week15.xlsx.32","health2a_week15.xlsx","AZ","80 and above","109294","60912","2218","11819"
"health2a_week15.xlsx.33","health2a_week15.xlsx","AR","Total","763035","450561","236975","319409"
"health2a_week15.xlsx.34","health2a_week15.xlsx","AR","18 - 29","50245","37284","9112","51507"
"health2a_week15.xlsx.35","health2a_week15.xlsx","AR","30 - 39","159782","93811","87574","43098"
"health2a_week15.xlsx.36","health2a_week15.xlsx","AR","40 - 49","133868","101622","30815","84497"
"health2a_week15.xlsx.37","health2a_week15.xlsx","AR","50 - 59","94804","95123","48735","65501"
"health2a_week15.xlsx.38","health2a_week15.xlsx","AR","60 - 69","165721","81560","48266","60168"
"health2a_week15.xlsx.39","health2a_week15.xlsx","AR","70 - 79","121221","35212","11621","14062"
"health2a_week15.xlsx.40","health2a_week15.xlsx","AR","80 and above","37395","5949","852","576"
"health2a_week15.xlsx.41","health2a_week15.xlsx","CA","Total","8029566","6752453","2975388","4328903"
"health2a_week15.xlsx.42","health2a_week15.xlsx","CA","18 - 29","930759","1028950","808845","1206258"
"health2a_week15.xlsx.43","health2a_week15.xlsx","CA","30 - 39","1077048","1225780","704857","1070115"
"health2a_week15.xlsx.44","health2a_week15.xlsx","CA","40 - 49","1335458","1335174","543710","712413"
"health2a_week15.xlsx.45","health2a_week15.xlsx","CA","50 - 59","1448674","1402763","350389","540546"
"health2a_week15.xlsx.46","health2a_week15.xlsx","CA","60 - 69","1880624","1083492","233064","586224"
"health2a_week15.xlsx.47","health2a_week15.xlsx","CA","70 - 79","981705","517423","215185","193994"
"health2a_week15.xlsx.48","health2a_week15.xlsx","CA","80 and above","375299","158872","119340","19353"
"health2a_week15.xlsx.49","health2a_week15.xlsx","CO","Total","1445595","1114065","494738","584113"
"health2a_week15.xlsx.50","health2a_week15.xlsx","CO","18 - 29","196654","138952","127677","173065"
"health2a_week15.xlsx.51","health2a_week15.xlsx","CO","30 - 39","213834","220105","142126","122752"
"health2a_week15.xlsx.52","health2a_week15.xlsx","CO","40 - 49","243165","288492","62896","115059"
"health2a_week15.xlsx.53","health2a_week15.xlsx","CO","50 - 59","266977","148176","71662","78565"
"health2a_week15.xlsx.54","health2a_week15.xlsx","CO","60 - 69","315233","182835","57711","49051"
"health2a_week15.xlsx.55","health2a_week15.xlsx","CO","70 - 79","156568","118008","27545","41833"
"health2a_week15.xlsx.56","health2a_week15.xlsx","CO","80 and above","53165","17497","5122","3789"
"health2a_week15.xlsx.57","health2a_week15.xlsx","CT","Total","808815","683489","229574","340080"
"health2a_week15.xlsx.58","health2a_week15.xlsx","CT","18 - 29","40450","75100","53623","83700"
"health2a_week15.xlsx.59","health2a_week15.xlsx","CT","30 - 39","73093","127850","36238","64063"
"health2a_week15.xlsx.60","health2a_week15.xlsx","CT","40 - 49","124380","136017","27521","71317"
"health2a_week15.xlsx.61","health2a_week15.xlsx","CT","50 - 59","163578","139823","41873","61244"
"health2a_week15.xlsx.62","health2a_week15.xlsx","CT","60 - 69","229276","146624","44307","33950"
"health2a_week15.xlsx.63","health2a_week15.xlsx","CT","70 - 79","135220","43472","24989","23538"
"health2a_week15.xlsx.64","health2a_week15.xlsx","CT","80 and above","42819","14602","1023","2269"
"health2a_week15.xlsx.65","health2a_week15.xlsx","DE","Total","287608","160431","71912","78463"
"health2a_week15.xlsx.66","health2a_week15.xlsx","DE","18 - 29","5331","22228","16379","13580"
"health2a_week15.xlsx.67","health2a_week15.xlsx","DE","30 - 39","55218","25432","11425","14325"
"health2a_week15.xlsx.68","health2a_week15.xlsx","DE","40 - 49","47336","21736","26206","21526"
"health2a_week15.xlsx.69","health2a_week15.xlsx","DE","50 - 59","51002","29392","7288","11949"
"health2a_week15.xlsx.70","health2a_week15.xlsx","DE","60 - 69","67983","36871","5892","13211"
"health2a_week15.xlsx.71","health2a_week15.xlsx","DE","70 - 79","47484","21534","3495","3460"
"health2a_week15.xlsx.72","health2a_week15.xlsx","DE","80 and above","13255","3237","1227","413"
"health2a_week15.xlsx.73","health2a_week15.xlsx","DC","Total","128743","187731","51743","79314"
"health2a_week15.xlsx.74","health2a_week15.xlsx","DC","18 - 29","13269","24884","1886","7035"
"health2a_week15.xlsx.75","health2a_week15.xlsx","DC","30 - 39","32565","89505","19560","20584"
"health2a_week15.xlsx.76","health2a_week15.xlsx","DC","40 - 49","17586","24634","11759","15679"
"health2a_week15.xlsx.77","health2a_week15.xlsx","DC","50 - 59","30293","23386","7274","12918"
"health2a_week15.xlsx.78","health2a_week15.xlsx","DC","60 - 69","16397","16290","8471","20722"
"health2a_week15.xlsx.79","health2a_week15.xlsx","DC","70 - 79","15338","8549","2479","1732"
"health2a_week15.xlsx.80","health2a_week15.xlsx","DC","80 and above","3296","483","315","644"
"health2a_week15.xlsx.81","health2a_week15.xlsx","FL","Total","5891734","3610039","1344681","2183428"
"health2a_week15.xlsx.82","health2a_week15.xlsx","FL","18 - 29","442240","772856","170413","506086"
"health2a_week15.xlsx.83","health2a_week15.xlsx","FL","30 - 39","968277","560754","245862","370072"
"health2a_week15.xlsx.84","health2a_week15.xlsx","FL","40 - 49","792722","630739","294719","501909"
"health2a_week15.xlsx.85","health2a_week15.xlsx","FL","50 - 59","896628","435919","264747","316445"
"health2a_week15.xlsx.86","health2a_week15.xlsx","FL","60 - 69","1239424","686441","159171","339665"
"health2a_week15.xlsx.87","health2a_week15.xlsx","FL","70 - 79","1195240","349443","120271","83178"
"health2a_week15.xlsx.88","health2a_week15.xlsx","FL","80 and above","357205","173887","89497","66073"
"health2a_week15.xlsx.89","health2a_week15.xlsx","GA","Total","2570982","1661009","529543","1260380"
"health2a_week15.xlsx.90","health2a_week15.xlsx","GA","18 - 29","305224","259694","85676","271157"
"health2a_week15.xlsx.91","health2a_week15.xlsx","GA","30 - 39","299748","423940","157657","299385"
"health2a_week15.xlsx.92","health2a_week15.xlsx","GA","40 - 49","548356","256665","94511","257530"
"health2a_week15.xlsx.93","health2a_week15.xlsx","GA","50 - 59","422417","271057","71643","201402"
"health2a_week15.xlsx.94","health2a_week15.xlsx","GA","60 - 69","541533","277064","94929","175642"
"health2a_week15.xlsx.95","health2a_week15.xlsx","GA","70 - 79","364483","128618","24436","53926"
"health2a_week15.xlsx.96","health2a_week15.xlsx","GA","80 and above","89221","43970","690","1338"
"health2a_week15.xlsx.97","health2a_week15.xlsx","HI","Total","396127","306864","81759","122012"
"health2a_week15.xlsx.98","health2a_week15.xlsx","HI","18 - 29","37844","39478","20525","12956"
"health2a_week15.xlsx.99","health2a_week15.xlsx","HI","30 - 39","40419","52408","16153","21730"
"health2a_week15.xlsx.100","health2a_week15.xlsx","HI","40 - 49","59172","59714","12016","14644"
"health2a_week15.xlsx.101","health2a_week15.xlsx","HI","50 - 59","65469","62406","10293","39006"
"health2a_week15.xlsx.102","health2a_week15.xlsx","HI","60 - 69","107915","53308","12255","22547"
"health2a_week15.xlsx.103","health2a_week15.xlsx","HI","70 - 79","70521","34445","8929","8241"
"health2a_week15.xlsx.104","health2a_week15.xlsx","HI","80 and above","14787","5104","1589","2887"
"health2a_week15.xlsx.105","health2a_week15.xlsx","ID","Total","522374","310403","120226","148209"
"health2a_week15.xlsx.106","health2a_week15.xlsx","ID","18 - 29","81418","68667","27647","33739"
"health2a_week15.xlsx.107","health2a_week15.xlsx","ID","30 - 39","79836","59116","28410","25375"
"health2a_week15.xlsx.108","health2a_week15.xlsx","ID","40 - 49","74371","50281","18660","29928"
"health2a_week15.xlsx.109","health2a_week15.xlsx","ID","50 - 59","94053","54917","19159","28153"
"health2a_week15.xlsx.110","health2a_week15.xlsx","ID","60 - 69","100374","39369","13876","19270"
"health2a_week15.xlsx.111","health2a_week15.xlsx","ID","70 - 79","74661","32556","11625","11366"
"health2a_week15.xlsx.112","health2a_week15.xlsx","ID","80 and above","17660","5497","848","377"
"health2a_week15.xlsx.113","health2a_week15.xlsx","IL","Total","2680842","2110698","916780","1261511"
"health2a_week15.xlsx.114","health2a_week15.xlsx","IL","18 - 29","322102","284407","219613","332047"
"health2a_week15.xlsx.115","health2a_week15.xlsx","IL","30 - 39","412043","352447","129292","274177"
"health2a_week15.xlsx.116","health2a_week15.xlsx","IL","40 - 49","380416","470564","138767","206721"
"health2a_week15.xlsx.117","health2a_week15.xlsx","IL","50 - 59","487293","339442","155525","151215"
"health2a_week15.xlsx.118","health2a_week15.xlsx","IL","60 - 69","599790","417040","189778","184367"
"health2a_week15.xlsx.119","health2a_week15.xlsx","IL","70 - 79","405813","202150","32965","68938"
"health2a_week15.xlsx.120","health2a_week15.xlsx","IL","80 and above","73386","44649","50841","44045"
"health2a_week15.xlsx.121","health2a_week15.xlsx","IN","Total","1622834","1091016","436673","603225"
"health2a_week15.xlsx.122","health2a_week15.xlsx","IN","18 - 29","175383","212302","75895","169511"
"health2a_week15.xlsx.123","health2a_week15.xlsx","IN","30 - 39","177489","216454","88210","122566"
"health2a_week15.xlsx.124","health2a_week15.xlsx","IN","40 - 49","238604","235595","67205","125415"
"health2a_week15.xlsx.125","health2a_week15.xlsx","IN","50 - 59","301704","144212","97189","88752"
"health2a_week15.xlsx.126","health2a_week15.xlsx","IN","60 - 69","420721","204770","81315","68010"
"health2a_week15.xlsx.127","health2a_week15.xlsx","IN","70 - 79","255080","74766","25413","16031"
"health2a_week15.xlsx.128","health2a_week15.xlsx","IN","80 and above","53853","2918","1447","12939"
"health2a_week15.xlsx.129","health2a_week15.xlsx","IA","Total","922836","465687","196701","293290"
"health2a_week15.xlsx.130","health2a_week15.xlsx","IA","18 - 29","98772","56953","36368","58826"
"health2a_week15.xlsx.131","health2a_week15.xlsx","IA","30 - 39","104762","104186","39116","36805"
"health2a_week15.xlsx.132","health2a_week15.xlsx","IA","40 - 49","113292","77180","29993","63634"
"health2a_week15.xlsx.133","health2a_week15.xlsx","IA","50 - 59","194796","79663","33265","66306"
"health2a_week15.xlsx.134","health2a_week15.xlsx","IA","60 - 69","209186","100264","40526","51217"
"health2a_week15.xlsx.135","health2a_week15.xlsx","IA","70 - 79","154617","27830","17434","12179"
"health2a_week15.xlsx.136","health2a_week15.xlsx","IA","80 and above","47410","19610","-","4323"
"health2a_week15.xlsx.137","health2a_week15.xlsx","KS","Total","783496","452791","152078","306057"
"health2a_week15.xlsx.138","health2a_week15.xlsx","KS","18 - 29","101438","39609","28854","95158"
"health2a_week15.xlsx.139","health2a_week15.xlsx","KS","30 - 39","85668","76323","22573","79041"
"health2a_week15.xlsx.140","health2a_week15.xlsx","KS","40 - 49","122938","81215","45023","44508"
"health2a_week15.xlsx.141","health2a_week15.xlsx","KS","50 - 59","162064","99815","15817","52700"
"health2a_week15.xlsx.142","health2a_week15.xlsx","KS","60 - 69","153451","112963","22206","26319"
"health2a_week15.xlsx.143","health2a_week15.xlsx","KS","70 - 79","139330","35864","16721","6606"
"health2a_week15.xlsx.144","health2a_week15.xlsx","KS","80 and above","18607","7002","883","1724"
"health2a_week15.xlsx.145","health2a_week15.xlsx","KY","Total","1046898","764288","358124","392105"
"health2a_week15.xlsx.146","health2a_week15.xlsx","KY","18 - 29","61488","94083","37000","133352"
"health2a_week15.xlsx.147","health2a_week15.xlsx","KY","30 - 39","183506","158542","69403","46040"
"health2a_week15.xlsx.148","health2a_week15.xlsx","KY","40 - 49","130119","101145","61809","78020"
"health2a_week15.xlsx.149","health2a_week15.xlsx","KY","50 - 59","194004","184745","90636","100195"
"health2a_week15.xlsx.150","health2a_week15.xlsx","KY","60 - 69","332439","137376","56976","28912"
"health2a_week15.xlsx.151","health2a_week15.xlsx","KY","70 - 79","122960","85970","40897","4625"
"health2a_week15.xlsx.152","health2a_week15.xlsx","KY","80 and above","22382","2427","1403","961"
"health2a_week15.xlsx.153","health2a_week15.xlsx","LA","Total","1031933","672065","322285","438214"
"health2a_week15.xlsx.154","health2a_week15.xlsx","LA","18 - 29","88039","89216","30278","33738"
"health2a_week15.xlsx.155","health2a_week15.xlsx","LA","30 - 39","202095","130115","73078","99893"
"health2a_week15.xlsx.156","health2a_week15.xlsx","LA","40 - 49","196555","110176","40512","113381"
"health2a_week15.xlsx.157","health2a_week15.xlsx","LA","50 - 59","150295","173342","91514","69598"
"health2a_week15.xlsx.158","health2a_week15.xlsx","LA","60 - 69","227055","105524","40590","91325"
"health2a_week15.xlsx.159","health2a_week15.xlsx","LA","70 - 79","133895","55603","43803","27345"
"health2a_week15.xlsx.160","health2a_week15.xlsx","LA","80 and above","33998","8089","2510","2934"
"health2a_week15.xlsx.161","health2a_week15.xlsx","ME","Total","300369","300627","85017","157848"
"health2a_week15.xlsx.162","health2a_week15.xlsx","ME","18 - 29","13815","33242","8910","39727"
"health2a_week15.xlsx.163","health2a_week15.xlsx","ME","30 - 39","11960","58415","4329","28153"
"health2a_week15.xlsx.164","health2a_week15.xlsx","ME","40 - 49","47582","76965","18512","31363"
"health2a_week15.xlsx.165","health2a_week15.xlsx","ME","50 - 59","59226","40565","21157","29524"
"health2a_week15.xlsx.166","health2a_week15.xlsx","ME","60 - 69","92179","44282","21130","21398"
"health2a_week15.xlsx.167","health2a_week15.xlsx","ME","70 - 79","60904","33518","10425","5599"
"health2a_week15.xlsx.168","health2a_week15.xlsx","ME","80 and above","14704","13640","555","2084"
"health2a_week15.xlsx.169","health2a_week15.xlsx","MD","Total","1518798","1102039","308474","625316"
"health2a_week15.xlsx.170","health2a_week15.xlsx","MD","18 - 29","80315","151861","24576","71282"
"health2a_week15.xlsx.171","health2a_week15.xlsx","MD","30 - 39","259439","278002","61912","184455"
"health2a_week15.xlsx.172","health2a_week15.xlsx","MD","40 - 49","206279","216411","73097","152367"
"health2a_week15.xlsx.173","health2a_week15.xlsx","MD","50 - 59","320001","184440","87780","98096"
"health2a_week15.xlsx.174","health2a_week15.xlsx","MD","60 - 69","376048","176088","35987","94556"
"health2a_week15.xlsx.175","health2a_week15.xlsx","MD","70 - 79","215331","83392","23792","14762"
"health2a_week15.xlsx.176","health2a_week15.xlsx","MD","80 and above","61384","11844","1330","9799"
"health2a_week15.xlsx.177","health2a_week15.xlsx","MA","Total","1799729","1232485","474050","625872"
"health2a_week15.xlsx.178","health2a_week15.xlsx","MA","18 - 29","137849","236796","89579","147561"
"health2a_week15.xlsx.179","health2a_week15.xlsx","MA","30 - 39","245990","269313","97552","166909"
"health2a_week15.xlsx.180","health2a_week15.xlsx","MA","40 - 49","321245","164239","115402","77335"
"health2a_week15.xlsx.181","health2a_week15.xlsx","MA","50 - 59","361389","220638","58811","93133"
"health2a_week15.xlsx.182","health2a_week15.xlsx","MA","60 - 69","397169","222282","59244","111726"
"health2a_week15.xlsx.183","health2a_week15.xlsx","MA","70 - 79","274187","101334","50990","28788"
"health2a_week15.xlsx.184","health2a_week15.xlsx","MA","80 and above","61900","17884","2472","420"
"health2a_week15.xlsx.185","health2a_week15.xlsx","MI","Total","2385611","1632204","749280","1049141"
"health2a_week15.xlsx.186","health2a_week15.xlsx","MI","18 - 29","98040","269809","146526","272877"
"health2a_week15.xlsx.187","health2a_week15.xlsx","MI","30 - 39","328667","232867","189781","190508"
"health2a_week15.xlsx.188","health2a_week15.xlsx","MI","40 - 49","409208","285051","121182","206656"
"health2a_week15.xlsx.189","health2a_week15.xlsx","MI","50 - 59","430000","316261","172090","125011"
"health2a_week15.xlsx.190","health2a_week15.xlsx","MI","60 - 69","605575","333165","75798","191572"
"health2a_week15.xlsx.191","health2a_week15.xlsx","MI","70 - 79","392922","146950","37081","44649"
"health2a_week15.xlsx.192","health2a_week15.xlsx","MI","80 and above","121200","48101","6821","17869"
"health2a_week15.xlsx.193","health2a_week15.xlsx","MN","Total","1554833","1026421","342569","522009"
"health2a_week15.xlsx.194","health2a_week15.xlsx","MN","18 - 29","69925","216004","76783","159625"
"health2a_week15.xlsx.195","health2a_week15.xlsx","MN","30 - 39","227916","183462","64499","85597"
"health2a_week15.xlsx.196","health2a_week15.xlsx","MN","40 - 49","272469","160313","68546","144822"
"health2a_week15.xlsx.197","health2a_week15.xlsx","MN","50 - 59","295877","148321","65577","66972"
"health2a_week15.xlsx.198","health2a_week15.xlsx","MN","60 - 69","373325","214140","48324","50062"
"health2a_week15.xlsx.199","health2a_week15.xlsx","MN","70 - 79","254859","97821","18840","11576"
"health2a_week15.xlsx.200","health2a_week15.xlsx","MN","80 and above","60461","6360","-","3353"
"health2a_week15.xlsx.201","health2a_week15.xlsx","MS","Total","636746","354495","210313","313514"
"health2a_week15.xlsx.202","health2a_week15.xlsx","MS","18 - 29","39706","30911","4675","8035"
"health2a_week15.xlsx.203","health2a_week15.xlsx","MS","30 - 39","58640","55132","77626","112190"
"health2a_week15.xlsx.204","health2a_week15.xlsx","MS","40 - 49","125786","51962","43712","68969"
"health2a_week15.xlsx.205","health2a_week15.xlsx","MS","50 - 59","109503","94136","41216","71325"
"health2a_week15.xlsx.206","health2a_week15.xlsx","MS","60 - 69","175064","74076","23207","42843"
"health2a_week15.xlsx.207","health2a_week15.xlsx","MS","70 - 79","115144","36551","19877","8893"
"health2a_week15.xlsx.208","health2a_week15.xlsx","MS","80 and above","12903","11728","-","1260"
"health2a_week15.xlsx.209","health2a_week15.xlsx","MO","Total","1451713","1034810","386080","574677"
"health2a_week15.xlsx.210","health2a_week15.xlsx","MO","18 - 29","127588","191082","68689","96778"
"health2a_week15.xlsx.211","health2a_week15.xlsx","MO","30 - 39","183786","147733","86036","117170"
"health2a_week15.xlsx.212","health2a_week15.xlsx","MO","40 - 49","201484","169389","68970","145794"
"health2a_week15.xlsx.213","health2a_week15.xlsx","MO","50 - 59","329544","190450","66847","100255"
"health2a_week15.xlsx.214","health2a_week15.xlsx","MO","60 - 69","321521","195305","65056","80430"
"health2a_week15.xlsx.215","health2a_week15.xlsx","MO","70 - 79","224827","118333","29852","26000"
"health2a_week15.xlsx.216","health2a_week15.xlsx","MO","80 and above","62963","22518","630","8252"
"health2a_week15.xlsx.217","health2a_week15.xlsx","MT","Total","306250","188540","64761","129968"
"health2a_week15.xlsx.218","health2a_week15.xlsx","MT","18 - 29","26675","26135","5962","34657"
"health2a_week15.xlsx.219","health2a_week15.xlsx","MT","30 - 39","50494","37894","15096","18264"
"health2a_week15.xlsx.220","health2a_week15.xlsx","MT","40 - 49","48056","22009","12043","19587"
"health2a_week15.xlsx.221","health2a_week15.xlsx","MT","50 - 59","40112","37039","10112","31159"
"health2a_week15.xlsx.222","health2a_week15.xlsx","MT","60 - 69","84008","37606","16341","14523"
"health2a_week15.xlsx.223","health2a_week15.xlsx","MT","70 - 79","41587","24486","5208","3698"
"health2a_week15.xlsx.224","health2a_week15.xlsx","MT","80 and above","15319","3371","-","8080"
"health2a_week15.xlsx.225","health2a_week15.xlsx","NE","Total","535225","311908","127710","147790"
"health2a_week15.xlsx.226","health2a_week15.xlsx","NE","18 - 29","53458","62831","33268","41504"
"health2a_week15.xlsx.227","health2a_week15.xlsx","NE","30 - 39","65158","60596","33163","29218"
"health2a_week15.xlsx.228","health2a_week15.xlsx","NE","40 - 49","69944","50782","26299","33893"
"health2a_week15.xlsx.229","health2a_week15.xlsx","NE","50 - 59","105239","42715","11172","23012"
"health2a_week15.xlsx.230","health2a_week15.xlsx","NE","60 - 69","131392","56544","18830","17706"
"health2a_week15.xlsx.231","health2a_week15.xlsx","NE","70 - 79","93152","33502","4979","1288"
"health2a_week15.xlsx.232","health2a_week15.xlsx","NE","80 and above","16881","4939","-","1169"
"health2a_week15.xlsx.233","health2a_week15.xlsx","NV","Total","766810","442200","260779","376918"
"health2a_week15.xlsx.234","health2a_week15.xlsx","NV","18 - 29","96071","47858","44739","30000"
"health2a_week15.xlsx.235","health2a_week15.xlsx","NV","30 - 39","85485","81232","64486","142654"
"health2a_week15.xlsx.236","health2a_week15.xlsx","NV","40 - 49","136367","98928","53245","69143"
"health2a_week15.xlsx.237","health2a_week15.xlsx","NV","50 - 59","154750","63461","54201","59081"
"health2a_week15.xlsx.238","health2a_week15.xlsx","NV","60 - 69","149354","91035","19514","68516"
"health2a_week15.xlsx.239","health2a_week15.xlsx","NV","70 - 79","118557","46733","23454","5514"
"health2a_week15.xlsx.240","health2a_week15.xlsx","NV","80 and above","26226","12953","1140","2008"
"health2a_week15.xlsx.241","health2a_week15.xlsx","NH","Total","396149","255200","93364","152454"
"health2a_week15.xlsx.242","health2a_week15.xlsx","NH","18 - 29","31444","46538","16328","59594"
"health2a_week15.xlsx.243","health2a_week15.xlsx","NH","30 - 39","34874","39810","20230","28037"
"health2a_week15.xlsx.244","health2a_week15.xlsx","NH","40 - 49","58641","36027","21395","13010"
"health2a_week15.xlsx.245","health2a_week15.xlsx","NH","50 - 59","79421","50172","20581","25447"
"health2a_week15.xlsx.246","health2a_week15.xlsx","NH","60 - 69","100617","48649","9832","16519"
"health2a_week15.xlsx.247","health2a_week15.xlsx","NH","70 - 79","81735","27145","4015","8755"
"health2a_week15.xlsx.248","health2a_week15.xlsx","NH","80 and above","9416","6859","982","1093"
"health2a_week15.xlsx.249","health2a_week15.xlsx","NJ","Total","2133284","1652005","625905","871928"
"health2a_week15.xlsx.250","health2a_week15.xlsx","NJ","18 - 29","304565","217823","76016","165200"
"health2a_week15.xlsx.251","health2a_week15.xlsx","NJ","30 - 39","303660","291921","150878","129402"
"health2a_week15.xlsx.252","health2a_week15.xlsx","NJ","40 - 49","368551","352805","97478","190286"
"health2a_week15.xlsx.253","health2a_week15.xlsx","NJ","50 - 59","349557","306219","152380","180609"
"health2a_week15.xlsx.254","health2a_week15.xlsx","NJ","60 - 69","400279","308455","67866","151998"
"health2a_week15.xlsx.255","health2a_week15.xlsx","NJ","70 - 79","326187","118133","74952","33477"
"health2a_week15.xlsx.256","health2a_week15.xlsx","NJ","80 and above","80486","56649","6334","20956"
"health2a_week15.xlsx.257","health2a_week15.xlsx","NM","Total","450795","383059","141482","249893"
"health2a_week15.xlsx.258","health2a_week15.xlsx","NM","18 - 29","21916","20297","8228","56037"
"health2a_week15.xlsx.259","health2a_week15.xlsx","NM","30 - 39","57211","120071","26609","60200"
"health2a_week15.xlsx.260","health2a_week15.xlsx","NM","40 - 49","64553","67048","38167","44440"
"health2a_week15.xlsx.261","health2a_week15.xlsx","NM","50 - 59","88508","59658","32245","34319"
"health2a_week15.xlsx.262","health2a_week15.xlsx","NM","60 - 69","108469","67818","16632","31783"
"health2a_week15.xlsx.263","health2a_week15.xlsx","NM","70 - 79","88362","44621","17795","17599"
"health2a_week15.xlsx.264","health2a_week15.xlsx","NM","80 and above","21775","3546","1808","5515"
"health2a_week15.xlsx.265","health2a_week15.xlsx","NY","Total","3769503","3580251","1370287","2210868"
"health2a_week15.xlsx.266","health2a_week15.xlsx","NY","18 - 29","257724","478754","357616","587449"
"health2a_week15.xlsx.267","health2a_week15.xlsx","NY","30 - 39","386518","607702","309598","464485"
"health2a_week15.xlsx.268","health2a_week15.xlsx","NY","40 - 49","573308","640731","242747","434612"
"health2a_week15.xlsx.269","health2a_week15.xlsx","NY","50 - 59","783272","853974","199089","261364"
"health2a_week15.xlsx.270","health2a_week15.xlsx","NY","60 - 69","859293","694796","139498","324282"
"health2a_week15.xlsx.271","health2a_week15.xlsx","NY","70 - 79","701654","245663","73903","65940"
"health2a_week15.xlsx.272","health2a_week15.xlsx","NY","80 and above","207733","58631","47835","72736"
"health2a_week15.xlsx.273","health2a_week15.xlsx","NC","Total","2647592","1747929","693367","960810"
"health2a_week15.xlsx.274","health2a_week15.xlsx","NC","18 - 29","145216","231899","193842","135475"
"health2a_week15.xlsx.275","health2a_week15.xlsx","NC","30 - 39","309159","417181","142390","209753"
"health2a_week15.xlsx.276","health2a_week15.xlsx","NC","40 - 49","434975","307267","121963","249382"
"health2a_week15.xlsx.277","health2a_week15.xlsx","NC","50 - 59","563861","301844","85979","145400"
